emoji,unicode,aliases_all
🧑🏼‍⚕️,🧑🏼‍⚕️,"petugas, kesehatan, warna, kulit, cerah-sedang, dokter, perawat, perawatan, terapis"
🧑🏽‍⚕️,🧑🏽‍⚕️,"petugas, kesehatan, warna, kulit, sedang, dokter, perawat, perawatan, terapis"
🧑🏾‍⚕️,🧑🏾‍⚕️,"petugas, kesehatan, warna, kulit, gelap-sedang, dokter, perawat, perawatan, terapis"
🧑🏿‍⚕️,🧑🏿‍⚕️,"petugas, kesehatan, warna, kulit, gelap, dokter, perawat, perawatan, terapis"
👨🏻‍⚕️,👨🏻‍⚕️,"pekerja, kesehatan, pria, warna, kulit, cerah, dokter, laki-laki, perawatan"
👨🏼‍⚕️,👨🏼‍⚕️,"pekerja, kesehatan, pria, warna, kulit, cerah-sedang, dokter, laki-laki, perawatan"
👨🏽‍⚕️,👨🏽‍⚕️,"pekerja, kesehatan, pria, warna, kulit, sedang, dokter, laki-laki, perawatan"
👨🏾‍⚕️,👨🏾‍⚕️,"pekerja, kesehatan, pria, warna, kulit, gelap-sedang, dokter, laki-laki, perawatan"
👨🏿‍⚕️,👨🏿‍⚕️,"pekerja, kesehatan, pria, warna, kulit, gelap, dokter, laki-laki, perawatan"
👩🏻‍⚕️,👩🏻‍⚕️,"pekerja, kesehatan, wanita, warna, kulit, cerah, dokter, perawatan, perempuan"
👩🏼‍⚕️,👩🏼‍⚕️,"pekerja, kesehatan, wanita, warna, kulit, cerah-sedang, dokter, perawatan, perempuan"
👩🏽‍⚕️,👩🏽‍⚕️,"pekerja, kesehatan, wanita, warna, kulit, sedang, dokter, perawatan, perempuan"
👩🏾‍⚕️,👩🏾‍⚕️,"pekerja, kesehatan, wanita, warna, kulit, gelap-sedang, dokter, perawatan, perempuan"
👩🏿‍⚕️,👩🏿‍⚕️,"pekerja, kesehatan, wanita, warna, kulit, gelap, dokter, perawatan, perempuan"
🧑🏻‍🎓,🧑🏻‍🎓,"murid, warna, kulit, cerah, kelulusan"
🧑🏼‍🎓,🧑🏼‍🎓,"murid, warna, kulit, cerah-sedang, kelulusan"
🧑🏽‍🎓,🧑🏽‍🎓,"murid, warna, kulit, sedang, kelulusan"
🧑🏾‍🎓,🧑🏾‍🎓,"murid, warna, kulit, gelap-sedang, kelulusan"
🧑🏿‍🎓,🧑🏿‍🎓,"murid, warna, kulit, gelap, kelulusan"
👨🏻‍🎓,👨🏻‍🎓,"sarjana, pria, warna, kulit, cerah, laki-laki, toga, universitas, wisuda"
👨🏼‍🎓,👨🏼‍🎓,"sarjana, pria, warna, kulit, cerah-sedang, laki-laki, toga, universitas, wisuda"
👨🏽‍🎓,👨🏽‍🎓,"sarjana, pria, warna, kulit, sedang, laki-laki, toga, universitas, wisuda"
👨🏾‍🎓,👨🏾‍🎓,"sarjana, pria, warna, kulit, gelap-sedang, laki-laki, toga, universitas, wisuda"
👨🏿‍🎓,👨🏿‍🎓,"sarjana, pria, warna, kulit, gelap, laki-laki, toga, universitas, wisuda"
👩🏻‍🎓,👩🏻‍🎓,"sarjana, wanita, warna, kulit, cerah, perempuan, toga, universitas, wisuda"
👩🏼‍🎓,👩🏼‍🎓,"sarjana, wanita, warna, kulit, cerah-sedang, perempuan, toga, universitas, wisuda"
👩🏽‍🎓,👩🏽‍🎓,"sarjana, wanita, warna, kulit, sedang, perempuan, toga, universitas, wisuda"
👩🏾‍🎓,👩🏾‍🎓,"sarjana, wanita, warna, kulit, gelap-sedang, perempuan, toga, universitas, wisuda"
👩🏿‍🎓,👩🏿‍🎓,"sarjana, wanita, warna, kulit, gelap, perempuan, toga, universitas, wisuda"
🧑🏻‍🏫,🧑🏻‍🏫,"guru, warna, kulit, cerah, dosen, instruktur"
🧑🏼‍🏫,🧑🏼‍🏫,"guru, warna, kulit, cerah-sedang, dosen, instruktur"
🧑🏽‍🏫,🧑🏽‍🏫,"guru, warna, kulit, sedang, dosen, instruktur"
🧑🏾‍🏫,🧑🏾‍🏫,"guru, warna, kulit, gelap-sedang, dosen, instruktur"
🧑🏿‍🏫,🧑🏿‍🏫,"guru, warna, kulit, gelap, dosen, instruktur"
👨🏻‍🏫,👨🏻‍🏫,"pengajar, pria, warna, kulit, cerah, laki-laki, sekolah"
👨🏼‍🏫,👨🏼‍🏫,"pengajar, pria, warna, kulit, cerah-sedang, laki-laki, sekolah"
👨🏽‍🏫,👨🏽‍🏫,"pengajar, pria, warna, kulit, sedang, laki-laki, sekolah"
👨🏾‍🏫,👨🏾‍🏫,"pengajar, pria, warna, kulit, gelap-sedang, laki-laki, sekolah"
👨🏿‍🏫,👨🏿‍🏫,"pengajar, pria, warna, kulit, gelap, laki-laki, sekolah"
👩🏻‍🏫,👩🏻‍🏫,"pengajar, wanita, warna, kulit, cerah, perempuan, sekolah"
👩🏼‍🏫,👩🏼‍🏫,"pengajar, wanita, warna, kulit, cerah-sedang, perempuan, sekolah"
👩🏽‍🏫,👩🏽‍🏫,"pengajar, wanita, warna, kulit, sedang, perempuan, sekolah"
👩🏾‍🏫,👩🏾‍🏫,"pengajar, wanita, warna, kulit, gelap-sedang, perempuan, sekolah"
👩🏿‍🏫,👩🏿‍🏫,"pengajar, wanita, warna, kulit, gelap, perempuan, sekolah"
🧑🏻‍⚖️,🧑🏻‍⚖️,"hakim, warna, kulit, cerah, timbangan"
🧑🏼‍⚖️,🧑🏼‍⚖️,"hakim, warna, kulit, cerah-sedang, timbangan"
🧑🏽‍⚖️,🧑🏽‍⚖️,"hakim, warna, kulit, sedang, timbangan"
🧑🏾‍⚖️,🧑🏾‍⚖️,"hakim, warna, kulit, gelap-sedang, timbangan"
🧑🏿‍⚖️,🧑🏿‍⚖️,"hakim, warna, kulit, gelap, timbangan"
👨🏻‍⚖️,👨🏻‍⚖️,"hakim, pria, warna, kulit, cerah, hukum, laki-laki, pengadilan"
👨🏼‍⚖️,👨🏼‍⚖️,"hakim, pria, warna, kulit, cerah-sedang, hukum, laki-laki, pengadilan"
👨🏽‍⚖️,👨🏽‍⚖️,"hakim, pria, warna, kulit, sedang, hukum, laki-laki, pengadilan"
👨🏾‍⚖️,👨🏾‍⚖️,"hakim, pria, warna, kulit, gelap-sedang, hukum, laki-laki, pengadilan"
👨🏿‍⚖️,👨🏿‍⚖️,"hakim, pria, warna, kulit, gelap, hukum, laki-laki, pengadilan"
👩🏻‍⚖️,👩🏻‍⚖️,"hakim, wanita, warna, kulit, cerah, hukum, pengadilan, perempuan"
👩🏼‍⚖️,👩🏼‍⚖️,"hakim, wanita, warna, kulit, cerah-sedang, hukum, pengadilan, perempuan"
👩🏽‍⚖️,👩🏽‍⚖️,"hakim, wanita, warna, kulit, sedang, hukum, pengadilan, perempuan"
👩🏾‍⚖️,👩🏾‍⚖️,"hakim, wanita, warna, kulit, gelap-sedang, hukum, pengadilan, perempuan"
👩🏿‍⚖️,👩🏿‍⚖️,"hakim, wanita, warna, kulit, gelap, hukum, pengadilan, perempuan"
🧑🏻‍🌾,🧑🏻‍🌾,"petani, warna, kulit, cerah, pekebun, peternak"
🧑🏼‍🌾,🧑🏼‍🌾,"petani, warna, kulit, cerah-sedang, pekebun, peternak"
🧑🏽‍🌾,🧑🏽‍🌾,"petani, warna, kulit, sedang, pekebun, peternak"
🧑🏾‍🌾,🧑🏾‍🌾,"petani, warna, kulit, gelap-sedang, pekebun, peternak"
🧑🏿‍🌾,🧑🏿‍🌾,"petani, warna, kulit, gelap, pekebun, peternak"
👨🏻‍🌾,👨🏻‍🌾,"petani, pria, warna, kulit, cerah, laki-laki, padi, sawah"
👨🏼‍🌾,👨🏼‍🌾,"petani, pria, warna, kulit, cerah-sedang, laki-laki, padi, sawah"
👨🏽‍🌾,👨🏽‍🌾,"petani, pria, warna, kulit, sedang, laki-laki, padi, sawah"
👨🏾‍🌾,👨🏾‍🌾,"petani, pria, warna, kulit, gelap-sedang, laki-laki, padi, sawah"
👨🏿‍🌾,👨🏿‍🌾,"petani, pria, warna, kulit, gelap, laki-laki, padi, sawah"
👩🏻‍🌾,👩🏻‍🌾,"petani, wanita, warna, kulit, cerah, padi, perempuan, sawah"
👩🏼‍🌾,👩🏼‍🌾,"petani, wanita, warna, kulit, cerah-sedang, padi, perempuan, sawah"
👩🏽‍🌾,👩🏽‍🌾,"petani, wanita, warna, kulit, sedang, padi, perempuan, sawah"
👩🏾‍🌾,👩🏾‍🌾,"petani, wanita, warna, kulit, gelap-sedang, padi, perempuan, sawah"
👩🏿‍🌾,👩🏿‍🌾,"petani, wanita, warna, kulit, gelap, padi, perempuan, sawah"
🧑🏻‍🍳,🧑🏻‍🍳,"koki, warna, kulit, cerah, chef"
🧑🏼‍🍳,🧑🏼‍🍳,"koki, warna, kulit, cerah-sedang, chef"
🧑🏽‍🍳,🧑🏽‍🍳,"koki, warna, kulit, sedang, chef"
🧑🏾‍🍳,🧑🏾‍🍳,"koki, warna, kulit, gelap-sedang, chef"
🧑🏿‍🍳,🧑🏿‍🍳,"koki, warna, kulit, gelap, chef"
👨🏻‍🍳,👨🏻‍🍳,"koki, pria, warna, kulit, cerah, dapur, laki-laki, memasak"
👨🏼‍🍳,👨🏼‍🍳,"koki, pria, warna, kulit, cerah-sedang, dapur, laki-laki, memasak"
👨🏽‍🍳,👨🏽‍🍳,"koki, pria, warna, kulit, sedang, dapur, laki-laki, memasak"
👨🏾‍🍳,👨🏾‍🍳,"koki, pria, warna, kulit, gelap-sedang, dapur, laki-laki, memasak"
👨🏿‍🍳,👨🏿‍🍳,"koki, pria, warna, kulit, gelap, dapur, laki-laki, memasak"
👩🏻‍🍳,👩🏻‍🍳,"koki, wanita, warna, kulit, cerah, dapur, memasak, perempuan"
👩🏼‍🍳,👩🏼‍🍳,"koki, wanita, warna, kulit, cerah-sedang, dapur, memasak, perempuan"
👩🏽‍🍳,👩🏽‍🍳,"koki, wanita, warna, kulit, sedang, dapur, memasak, perempuan"
👩🏾‍🍳,👩🏾‍🍳,"koki, wanita, warna, kulit, gelap-sedang, dapur, memasak, perempuan"
👩🏿‍🍳,👩🏿‍🍳,"koki, wanita, warna, kulit, gelap, dapur, memasak, perempuan"
🧑🏻‍🔧,🧑🏻‍🔧,"mekanik, warna, kulit, cerah, pekerja, terlatih, tukang, ledeng, listrik"
🧑🏼‍🔧,🧑🏼‍🔧,"mekanik, warna, kulit, cerah-sedang, pekerja, terlatih, tukang, ledeng, listrik"
🧑🏽‍🔧,🧑🏽‍🔧,"mekanik, warna, kulit, sedang, pekerja, terlatih, tukang, ledeng, listrik"
🧑🏾‍🔧,🧑🏾‍🔧,"mekanik, warna, kulit, gelap-sedang, pekerja, terlatih, tukang, ledeng, listrik"
🧑🏿‍🔧,🧑🏿‍🔧,"mekanik, warna, kulit, gelap, pekerja, terlatih, tukang, ledeng, listrik"
👨🏻‍🔧,👨🏻‍🔧,"montir, pria, warna, kulit, cerah, laki-laki, perbaikan, tukang"
👨🏼‍🔧,👨🏼‍🔧,"montir, pria, warna, kulit, cerah-sedang, laki-laki, perbaikan, tukang"
👨🏽‍🔧,👨🏽‍🔧,"montir, pria, warna, kulit, sedang, laki-laki, perbaikan, tukang"
👨🏾‍🔧,👨🏾‍🔧,"montir, pria, warna, kulit, gelap-sedang, laki-laki, perbaikan, tukang"
👨🏿‍🔧,👨🏿‍🔧,"montir, pria, warna, kulit, gelap, laki-laki, perbaikan, tukang"
👩🏻‍🔧,👩🏻‍🔧,"montir, wanita, warna, kulit, cerah, perbaikan, perempuan, tukang"
👩🏼‍🔧,👩🏼‍🔧,"montir, wanita, warna, kulit, cerah-sedang, perbaikan, perempuan, tukang"
👩🏽‍🔧,👩🏽‍🔧,"montir, wanita, warna, kulit, sedang, perbaikan, perempuan, tukang"
👩🏾‍🔧,👩🏾‍🔧,"montir, wanita, warna, kulit, gelap-sedang, perbaikan, perempuan, tukang"
👩🏿‍🔧,👩🏿‍🔧,"montir, wanita, warna, kulit, gelap, perbaikan, perempuan, tukang"
🧑🏻‍🏭,🧑🏻‍🏭,"pekerja, pabrik, warna, kulit, cerah, industri, perakitan"
🧑🏼‍🏭,🧑🏼‍🏭,"pekerja, pabrik, warna, kulit, cerah-sedang, industri, perakitan"
🧑🏽‍🏭,🧑🏽‍🏭,"pekerja, pabrik, warna, kulit, sedang, industri, perakitan"
🧑🏾‍🏭,🧑🏾‍🏭,"pekerja, pabrik, warna, kulit, gelap-sedang, industri, perakitan"
🧑🏿‍🏭,🧑🏿‍🏭,"pekerja, pabrik, warna, kulit, gelap, industri, perakitan"
👨🏻‍🏭,👨🏻‍🏭,"pekerja, pabrik, pria, warna, kulit, cerah, laki-laki"
👨🏼‍🏭,👨🏼‍🏭,"pekerja, pabrik, pria, warna, kulit, cerah-sedang, laki-laki"
👨🏽‍🏭,👨🏽‍🏭,"pekerja, pabrik, pria, warna, kulit, sedang, laki-laki"
👨🏾‍🏭,👨🏾‍🏭,"pekerja, pabrik, pria, warna, kulit, gelap-sedang, laki-laki"
👨🏿‍🏭,👨🏿‍🏭,"pekerja, pabrik, pria, warna, kulit, gelap, laki-laki"
👩🏻‍🏭,👩🏻‍🏭,"pekerja, pabrik, wanita, warna, kulit, cerah, perempuan"
👩🏼‍🏭,👩🏼‍🏭,"pekerja, pabrik, wanita, warna, kulit, cerah-sedang, perempuan"
👩🏽‍🏭,👩🏽‍🏭,"pekerja, pabrik, wanita, warna, kulit, sedang, perempuan"
👩🏾‍🏭,👩🏾‍🏭,"pekerja, pabrik, wanita, warna, kulit, gelap-sedang, perempuan"
👩🏿‍🏭,👩🏿‍🏭,"pekerja, pabrik, wanita, warna, kulit, gelap, perempuan"
🧑🏻‍💼,🧑🏻‍💼,"pekerja, kantoran, warna, kulit, cerah, arsitek, bisnis, kerah, putih, manajer"
🧑🏼‍💼,🧑🏼‍💼,"pekerja, kantoran, warna, kulit, cerah-sedang, arsitek, bisnis, kerah, putih, manajer"
🧑🏽‍💼,🧑🏽‍💼,"pekerja, kantoran, warna, kulit, sedang, arsitek, bisnis, kerah, putih, manajer"
🧑🏾‍💼,🧑🏾‍💼,"pekerja, kantoran, warna, kulit, gelap-sedang, arsitek, bisnis, kerah, putih, manajer"
🧑🏿‍💼,🧑🏿‍💼,"pekerja, kantoran, warna, kulit, gelap, arsitek, bisnis, kerah, putih, manajer"
👨🏻‍💼,👨🏻‍💼,"pekerja, kantor, pria, warna, kulit, cerah, karyawan, laki-laki"
👨🏼‍💼,👨🏼‍💼,"pekerja, kantor, pria, warna, kulit, cerah-sedang, karyawan, laki-laki"
👨🏽‍💼,👨🏽‍💼,"pekerja, kantor, pria, warna, kulit, sedang, karyawan, laki-laki"
👨🏾‍💼,👨🏾‍💼,"pekerja, kantor, pria, warna, kulit, gelap-sedang, karyawan, laki-laki"
👨🏿‍💼,👨🏿‍💼,"pekerja, kantor, pria, warna, kulit, gelap, karyawan, laki-laki"
👩🏻‍💼,👩🏻‍💼,"pekerja, kantor, wanita, warna, kulit, cerah, karyawan, perempuan"
👩🏼‍💼,👩🏼‍💼,"pekerja, kantor, wanita, warna, kulit, cerah-sedang, karyawan, perempuan"
👩🏽‍💼,👩🏽‍💼,"pekerja, kantor, wanita, warna, kulit, sedang, karyawan, perempuan"
👩🏾‍💼,👩🏾‍💼,"pekerja, kantor, wanita, warna, kulit, gelap-sedang, karyawan, perempuan"
👩🏿‍💼,👩🏿‍💼,"pekerja, kantor, wanita, warna, kulit, gelap, karyawan, perempuan"
🧑🏻‍🔬,🧑🏻‍🔬,"ilmuwan, warna, kulit, cerah, ahli, biologi, fisika, kimia, insinyur"
🧑🏼‍🔬,🧑🏼‍🔬,"ilmuwan, warna, kulit, cerah-sedang, ahli, biologi, fisika, kimia, insinyur"
🧑🏽‍🔬,🧑🏽‍🔬,"ilmuwan, warna, kulit, sedang, ahli, biologi, fisika, kimia, insinyur"
🧑🏾‍🔬,🧑🏾‍🔬,"ilmuwan, warna, kulit, gelap-sedang, ahli, biologi, fisika, kimia, insinyur"
🧑🏿‍🔬,🧑🏿‍🔬,"ilmuwan, warna, kulit, gelap, ahli, biologi, fisika, kimia, insinyur"
👨🏻‍🔬,👨🏻‍🔬,"ilmuwan, pria, warna, kulit, cerah, laboratorium, laki-laki, sains"
👨🏼‍🔬,👨🏼‍🔬,"ilmuwan, pria, warna, kulit, cerah-sedang, laboratorium, laki-laki, sains"
👨🏽‍🔬,👨🏽‍🔬,"ilmuwan, pria, warna, kulit, sedang, laboratorium, laki-laki, sains"
👨🏾‍🔬,👨🏾‍🔬,"ilmuwan, pria, warna, kulit, gelap-sedang, laboratorium, laki-laki, sains"
👨🏿‍🔬,👨🏿‍🔬,"ilmuwan, pria, warna, kulit, gelap, laboratorium, laki-laki, sains"
👩🏻‍🔬,👩🏻‍🔬,"ilmuwan, wanita, warna, kulit, cerah, laboratorium, perempuan, sains"
👩🏼‍🔬,👩🏼‍🔬,"ilmuwan, wanita, warna, kulit, cerah-sedang, laboratorium, perempuan, sains"
👩🏽‍🔬,👩🏽‍🔬,"ilmuwan, wanita, warna, kulit, sedang, laboratorium, perempuan, sains"
👩🏾‍🔬,👩🏾‍🔬,"ilmuwan, wanita, warna, kulit, gelap-sedang, laboratorium, perempuan, sains"
👩🏿‍🔬,👩🏿‍🔬,"ilmuwan, wanita, warna, kulit, gelap, laboratorium, perempuan, sains"
🧑🏻‍💻,🧑🏻‍💻,"ahli, teknologi, warna, kulit, cerah, pemrogram, penemu, pengembang, perangkat, lunak"
🧑🏼‍💻,🧑🏼‍💻,"ahli, teknologi, warna, kulit, cerah-sedang, pemrogram, penemu, pengembang, perangkat, lunak"
🧑🏽‍💻,🧑🏽‍💻,"ahli, teknologi, warna, kulit, sedang, pemrogram, penemu, pengembang, perangkat, lunak"
🧑🏾‍💻,🧑🏾‍💻,"ahli, teknologi, warna, kulit, gelap-sedang, pemrogram, penemu, pengembang, perangkat, lunak"
🧑🏿‍💻,🧑🏿‍💻,"ahli, teknologi, warna, kulit, gelap, pemrogram, penemu, pengembang, perangkat, lunak"
👨🏻‍💻,👨🏻‍💻,"ahli, teknologi, pria, warna, kulit, cerah, komputer, laki-laki"
👨🏼‍💻,👨🏼‍💻,"ahli, teknologi, pria, warna, kulit, cerah-sedang, komputer, laki-laki"
👨🏽‍💻,👨🏽‍💻,"ahli, teknologi, pria, warna, kulit, sedang, komputer, laki-laki"
👨🏾‍💻,👨🏾‍💻,"ahli, teknologi, pria, warna, kulit, gelap-sedang, komputer, laki-laki"
👨🏿‍💻,👨🏿‍💻,"ahli, teknologi, pria, warna, kulit, gelap, komputer, laki-laki"
👩🏻‍💻,👩🏻‍💻,"ahli, teknologi, wanita, warna, kulit, cerah, komputer, perempuan"
👩🏼‍💻,👩🏼‍💻,"ahli, teknologi, wanita, warna, kulit, cerah-sedang, komputer, perempuan"
👩🏽‍💻,👩🏽‍💻,"ahli, teknologi, wanita, warna, kulit, sedang, komputer, perempuan"
👩🏾‍💻,👩🏾‍💻,"ahli, teknologi, wanita, warna, kulit, gelap-sedang, komputer, perempuan"
👩🏿‍💻,👩🏿‍💻,"ahli, teknologi, wanita, warna, kulit, gelap, komputer, perempuan"
🧑🏻‍🎤,🧑🏻‍🎤,"penyanyi, warna, kulit, cerah, aktor, bintang, penghibur, rock"
🧑🏼‍🎤,🧑🏼‍🎤,"penyanyi, warna, kulit, cerah-sedang, aktor, bintang, penghibur, rock"
🧑🏽‍🎤,🧑🏽‍🎤,"penyanyi, warna, kulit, sedang, aktor, bintang, penghibur, rock"
🧑🏾‍🎤,🧑🏾‍🎤,"penyanyi, warna, kulit, gelap-sedang, aktor, bintang, penghibur, rock"
🧑🏿‍🎤,🧑🏿‍🎤,"penyanyi, warna, kulit, gelap, aktor, bintang, penghibur, rock"
👨🏻‍🎤,👨🏻‍🎤,"penyanyi, pria, warna, kulit, cerah, aktor, bintang, penghibur, rock"
👨🏼‍🎤,👨🏼‍🎤,"penyanyi, pria, warna, kulit, cerah-sedang, aktor, bintang, penghibur, rock"
👨🏽‍🎤,👨🏽‍🎤,"penyanyi, pria, warna, kulit, sedang, aktor, bintang, penghibur, rock"
👨🏾‍🎤,👨🏾‍🎤,"penyanyi, pria, warna, kulit, gelap-sedang, aktor, bintang, penghibur, rock"
👨🏿‍🎤,👨🏿‍🎤,"penyanyi, pria, warna, kulit, gelap, aktor, bintang, penghibur, rock"
👩🏻‍🎤,👩🏻‍🎤,"penyanyi, wanita, warna, kulit, cerah, aktor, bintang, penghibur, rock"
👩🏼‍🎤,👩🏼‍🎤,"penyanyi, wanita, warna, kulit, cerah-sedang, aktor, bintang, penghibur, rock"
👩🏽‍🎤,👩🏽‍🎤,"penyanyi, wanita, warna, kulit, sedang, aktor, bintang, penghibur, rock"
👩🏾‍🎤,👩🏾‍🎤,"penyanyi, wanita, warna, kulit, gelap-sedang, aktor, bintang, penghibur, rock"
👩🏿‍🎤,👩🏿‍🎤,"penyanyi, wanita, warna, kulit, gelap, aktor, bintang, penghibur, rock"
🧑🏻‍🎨,🧑🏻‍🎨,"seniman, warna, kulit, cerah, palet"
🧑🏼‍🎨,🧑🏼‍🎨,"seniman, warna, kulit, cerah-sedang, palet"
🧑🏽‍🎨,🧑🏽‍🎨,"seniman, warna, kulit, sedang, palet"
🧑🏾‍🎨,🧑🏾‍🎨,"seniman, warna, kulit, gelap-sedang, palet"
🧑🏿‍🎨,🧑🏿‍🎨,"seniman, warna, kulit, gelap, palet"
👨🏻‍🎨,👨🏻‍🎨,"seniman, pria, warna, kulit, cerah, laki-laki, lukisan, seni"
👨🏼‍🎨,👨🏼‍🎨,"seniman, pria, warna, kulit, cerah-sedang, laki-laki, lukisan, seni"
👨🏽‍🎨,👨🏽‍🎨,"seniman, pria, warna, kulit, sedang, laki-laki, lukisan, seni"
👨🏾‍🎨,👨🏾‍🎨,"seniman, pria, warna, kulit, gelap-sedang, laki-laki, lukisan, seni"
👨🏿‍🎨,👨🏿‍🎨,"seniman, pria, warna, kulit, gelap, laki-laki, lukisan, seni"
👩🏻‍🎨,👩🏻‍🎨,"seniman, wanita, warna, kulit, cerah, lukisan, perempuan, seni"
👩🏼‍🎨,👩🏼‍🎨,"seniman, wanita, warna, kulit, cerah-sedang, lukisan, perempuan, seni"
👩🏽‍🎨,👩🏽‍🎨,"seniman, wanita, warna, kulit, sedang, lukisan, perempuan, seni"
👩🏾‍🎨,👩🏾‍🎨,"seniman, wanita, warna, kulit, gelap-sedang, lukisan, perempuan, seni"
👩🏿‍🎨,👩🏿‍🎨,"seniman, wanita, warna, kulit, gelap, lukisan, perempuan, seni"
🧑🏻‍✈️,🧑🏻‍✈️,"pilot, warna, kulit, cerah, pesawat"
🧑🏼‍✈️,🧑🏼‍✈️,"pilot, warna, kulit, cerah-sedang, pesawat"
🧑🏽‍✈️,🧑🏽‍✈️,"pilot, warna, kulit, sedang, pesawat"
🧑🏾‍✈️,🧑🏾‍✈️,"pilot, warna, kulit, gelap-sedang, pesawat"
🧑🏿‍✈️,🧑🏿‍✈️,"pilot, warna, kulit, gelap, pesawat"
👨🏻‍✈️,👨🏻‍✈️,"pilot, pria, warna, kulit, cerah, laki-laki, pesawat"
👨🏼‍✈️,👨🏼‍✈️,"pilot, pria, warna, kulit, cerah-sedang, laki-laki, pesawat"
👨🏽‍✈️,👨🏽‍✈️,"pilot, pria, warna, kulit, sedang, laki-laki, pesawat"
👨🏾‍✈️,👨🏾‍✈️,"pilot, pria, warna, kulit, gelap-sedang, laki-laki, pesawat"
👨🏿‍✈️,👨🏿‍✈️,"pilot, pria, warna, kulit, gelap, laki-laki, pesawat"
👩🏻‍✈️,👩🏻‍✈️,"pilot, wanita, warna, kulit, cerah, perempuan, pesawat"
👩🏼‍✈️,👩🏼‍✈️,"pilot, wanita, warna, kulit, cerah-sedang, perempuan, pesawat"
👩🏽‍✈️,👩🏽‍✈️,"pilot, wanita, warna, kulit, sedang, perempuan, pesawat"
👩🏾‍✈️,👩🏾‍✈️,"pilot, wanita, warna, kulit, gelap-sedang, perempuan, pesawat"
👩🏿‍✈️,👩🏿‍✈️,"pilot, wanita, warna, kulit, gelap, perempuan, pesawat"
🧑🏻‍🚀,🧑🏻‍🚀,"astronaut, warna, kulit, cerah, roket"
🧑🏼‍🚀,🧑🏼‍🚀,"astronaut, warna, kulit, cerah-sedang, roket"
🧑🏽‍🚀,🧑🏽‍🚀,"astronaut, warna, kulit, sedang, roket"
🧑🏾‍🚀,🧑🏾‍🚀,"astronaut, warna, kulit, gelap-sedang, roket"
🧑🏿‍🚀,🧑🏿‍🚀,"astronaut, warna, kulit, gelap, roket"
👨🏻‍🚀,👨🏻‍🚀,"antariksawan, pria, warna, kulit, cerah, angkasa, luar, laki-laki, roket"
👨🏼‍🚀,👨🏼‍🚀,"antariksawan, pria, warna, kulit, cerah-sedang, angkasa, luar, laki-laki, roket"
👨🏽‍🚀,👨🏽‍🚀,"antariksawan, pria, warna, kulit, sedang, angkasa, luar, laki-laki, roket"
👨🏾‍🚀,👨🏾‍🚀,"antariksawan, pria, warna, kulit, gelap-sedang, angkasa, luar, laki-laki, roket"
👨🏿‍🚀,👨🏿‍🚀,"antariksawan, pria, warna, kulit, gelap, angkasa, luar, laki-laki, roket"
👩🏻‍🚀,👩🏻‍🚀,"antariksawan, wanita, warna, kulit, cerah, angkasa, luar, perempuan, roket"
👩🏼‍🚀,👩🏼‍🚀,"antariksawan, wanita, warna, kulit, cerah-sedang, angkasa, luar, perempuan, roket"
👩🏽‍🚀,👩🏽‍🚀,"antariksawan, wanita, warna, kulit, sedang, angkasa, luar, perempuan, roket"
👩🏾‍🚀,👩🏾‍🚀,"antariksawan, wanita, warna, kulit, gelap-sedang, angkasa, luar, perempuan, roket"
👩🏿‍🚀,👩🏿‍🚀,"antariksawan, wanita, warna, kulit, gelap, angkasa, luar, perempuan, roket"
🧑🏻‍🚒,🧑🏻‍🚒,"pemadam, kebakaran, warna, kulit, cerah, truk"
🧑🏼‍🚒,🧑🏼‍🚒,"pemadam, kebakaran, warna, kulit, cerah-sedang, truk"
🧑🏽‍🚒,🧑🏽‍🚒,"pemadam, kebakaran, warna, kulit, sedang, truk"
🧑🏾‍🚒,🧑🏾‍🚒,"pemadam, kebakaran, warna, kulit, gelap-sedang, truk"
🧑🏿‍🚒,🧑🏿‍🚒,"pemadam, kebakaran, warna, kulit, gelap, truk"
👨🏻‍🚒,👨🏻‍🚒,"pemadam, kebakaran, pria, warna, kulit, cerah, api, laki-laki"
👨🏼‍🚒,👨🏼‍🚒,"pemadam, kebakaran, pria, warna, kulit, cerah-sedang, api, laki-laki"
👨🏽‍🚒,👨🏽‍🚒,"pemadam, kebakaran, pria, warna, kulit, sedang, api, laki-laki"
👨🏾‍🚒,👨🏾‍🚒,"pemadam, kebakaran, pria, warna, kulit, gelap-sedang, api, laki-laki"
👨🏿‍🚒,👨🏿‍🚒,"pemadam, kebakaran, pria, warna, kulit, gelap, api, laki-laki"
👩🏻‍🚒,👩🏻‍🚒,"pemadam, kebakaran, wanita, warna, kulit, cerah, api, perempuan"
👩🏼‍🚒,👩🏼‍🚒,"pemadam, kebakaran, wanita, warna, kulit, cerah-sedang, api, perempuan"
👩🏽‍🚒,👩🏽‍🚒,"pemadam, kebakaran, wanita, warna, kulit, sedang, api, perempuan"
👩🏾‍🚒,👩🏾‍🚒,"pemadam, kebakaran, wanita, warna, kulit, gelap-sedang, api, perempuan"
👩🏿‍🚒,👩🏿‍🚒,"pemadam, kebakaran, wanita, warna, kulit, gelap, api, perempuan"
👮🏻,👮🏻,"polisi, warna, kulit, cerah, penegak, hukum"
👮🏼,👮🏼,"polisi, warna, kulit, cerah-sedang, penegak, hukum"
👮🏽,👮🏽,"polisi, warna, kulit, sedang, penegak, hukum"
